ponto,rotulo_ponto,tipo_referencia,dist_m,limiar_principal_m,associacao_principal,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus
P4,Corredor Av. Vicente Monteggia,polyline,0.9,50.0,sim,669386,2020-01-11 00:00:00,14:10:00.0000000,SÁBADO,-30.100344553869576,-51.22503295540811,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,1.2,50.0,sim,669440,2020-01-10 00:00:00,09:15:00.0000000,SEXTA-FEIRA,-30.103792769868264,-51.22309237718582,AV VICENTE MONTEGGIA,,ABALROAMENTO,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,2.4,50.0,sim,669457,2020-01-13 00:00:00,13:30:00.0000000,SEGUNDA-FEIRA,-30.10358045048825,-51.223147362470634,AV VICENTE MONTEGGIA,,COLISÃO,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.8,50.0,sim,669723,2020-01-22 00:00:00,15:00:00.0000000,QUARTA-FEIRA,-30.10521750232251,-51.222700774669654,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,1,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,3.6,50.0,sim,669833,2020-01-24 00:00:00,15:00:00.0000000,SEXTA-FEIRA,-30.1073679121808,-51.22192345662394,AV VICENTE MONTEGGIA,,ATROPELAMENTO,1,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,1.5,50.0,sim,670086,2020-02-01 00:00:00,14:55:00.0000000,SÁBADO,-30.100276098834804,-51.2250678241253,AV VICENTE MONTEGGIA,,COLISÃO,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,7.5,50.0,sim,671024,2020-03-02 00:00:00,20:23:00.0000000,SEGUNDA-FEIRA,-30.11239627472066,-51.2158516276403,AV VICENTE MONTEGGIA,,ATROPELAMENTO,1,1,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,6.3,50.0,sim,671515,2020-03-14 00:00:00,23:00:00.0000000,SÁBADO,-30.11046064718624,-51.218918833344645,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,1,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,18.6,50.0,sim,671760,2020-03-17 00:00:00,07:20:00.0000000,TERÇA-FEIRA,-30.10072743708826,-51.22508168209607,AV OTTO NIEMEYER,AV VICENTE MONTEGGIA,ABALROAMENTO,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,5.2,50.0,sim,672360,2020-05-06 00:00:00,16:00:00.0000000,QUARTA-FEIRA,-30.103334811900684,-51.22312463461003,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,4.0,50.0,sim,672642,2020-05-17 00:00:00,18:00:00.0000000,DOMINGO,-30.11250093491208,-51.21563182059024,AV VICENTE MONTEGGIA,,ABALROAMENTO,0,0,0,0,0,0
P3,Acesso Av. Vicente Monteggia via Joao Salomoni/Rodrigues,point,88.5,100.0,sim,673296,2020-06-23 00:00:00,17:00:00.0000000,TERÇA-FEIRA,-30.114705139648375,-51.21243998408318,AV VICENTE MONTEGGIA,,ABALROAMENTO,1,0,0,1,0,0
