ranking_distancia_no_ponto,ponto,rotulo_ponto,tipo_referencia,dist_m,limiar_principal_m,associacao_principal,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus,check_manual
3,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,3.0,100.0,sim,732568,2023-07-04 00:00:00,08:30:00.0000000,TERÇA-FEIRA,-30.115179903626125,-51.177038513123996,ESTR COSTA GAMA ,ESTR AFONSO LOURENCO MARIANTE,COLISÃO,0,0,0,0,0,0,
4,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,3.3,100.0,sim,717117,2023-03-03 00:00:00,06:40:00.0000000,SEXTA-FEIRA,-30.11517613336528,-51.17703616619111,ESTR COSTA GAMA ,ESTR AFONSO LOURENCO MARIANTE,CAPOTAGEM,0,0,0,1,0,0,
5,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,4.7,100.0,sim,741697,2024-01-26 00:00:00,13:20:00.0000000,SEXTA-FEIRA,-30.11520571540801,-51.17703147232533,ESTR COSTA GAMA ,ESTR AFONSO LOURENCO MARIANTE,CHOQUE,0,0,0,0,0,0,
6,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,5.6,100.0,sim,690121,2021-12-03 00:00:00,16:30:00.0000000,SEXTA-FEIRA,-30.11520629544797,-51.17702007293702,ESTR AFONSO LOURENCO MARIANTE ,ESTR COSTA GAMA,COLISÃO,0,0,0,0,0,0,
7,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,6.3,100.0,sim,679834,2020-12-12 00:00:00,10:30:00.0000000,SÁBADO,-30.115236029368454,-51.177077565991326,ESTR AFONSO LOURENCO MARIANTE ,,QUEDA,1,0,0,1,0,0,
8,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,6.3,100.0,sim,681969,2021-05-11 00:00:00,,TERÇA-FEIRA,-30.115236029368454,-51.177077565991326,ESTR AFONSO LOURENCO MARIANTE ,,ABALROAMENTO,0,0,0,1,0,0,
9,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,6.3,100.0,sim,687242,2021-09-29 00:00:00,16:30:00.0000000,QUARTA-FEIRA,-30.115236029368454,-51.177077565991326,ESTR AFONSO LOURENCO MARIANTE ,,ABALROAMENTO,0,0,0,0,0,0,
10,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,6.3,100.0,sim,694789,2022-04-20 00:00:00,16:40:00.0000000,QUARTA-FEIRA,-30.115236029368468,-51.177077565991326,R JOAO DO COUTO ,,CHOQUE,0,0,0,0,0,0,
11,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,6.3,100.0,sim,704251,2022-12-15 00:00:00,21:40:00.0000000,QUINTA-FEIRA,-30.115236029368468,-51.177077565991326,ESTR AFONSO LOURENCO MARIANTE ,R HUMBERTO CADAVAL,ABALROAMENTO,1,0,0,1,0,0,
12,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,6.3,100.0,sim,727998,2023-03-23 00:00:00,07:45:00.0000000,QUINTA-FEIRA,-30.115236029368468,-51.177077565991326,ESTR AFONSO LOURENCO MARIANTE ,,COLISÃO,0,0,0,1,0,1,
13,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,6.3,100.0,sim,742386,2024-02-17 00:00:00,09:15:00.0000000,SÁBADO,-30.115236029368468,-51.177077565991326,ESTR AFONSO LOURENCO MARIANTE ,,COLISÃO,1,0,0,1,0,0,
14,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,6.3,100.0,sim,745358,2024-05-07 00:00:00,17:00:00.0000000,TERÇA-FEIRA,-30.115236029368468,-51.177077565991326,ESTR AFONSO LOURENCO MARIANTE ,,QUEDA,1,0,0,1,0,0,
15,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,6.3,100.0,sim,772085,2025-05-15 00:00:00,10:20:00.0000000,QUINTA-FEIRA,-30.115236029368468,-51.177077565991326,ESTR AFONSO LOURENCO MARIANTE ,,COLISÃO,0,0,0,0,0,0,
16,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,11.2,100.0,sim,732330,2023-07-02 00:00:00,20:00:00.0000000,DOMINGO,-30.11507923115128,-51.17707438513571,ESTR COSTA GAMA ,,COLISÃO,0,0,0,0,0,0,
17,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,11.2,100.0,sim,733593,2023-08-01 00:00:00,07:00:00.0000000,TERÇA-FEIRA,-30.11507923115128,-51.17707438513571,ESTR COSTA GAMA ,,COLISÃO,1,1,0,1,0,0,
18,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,11.2,100.0,sim,763702,2024-11-27 00:00:00,10:40:00.0000000,QUARTA-FEIRA,-30.11523155932892,-51.176969706866664,ESTR AFONSO LOURENCO MARIANTE ,ESTR COSTA GAMA,COLISÃO,0,0,0,0,0,0,
19,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,12.4,100.0,sim,716657,2023-02-21 00:00:00,12:30:00.0000000,TERÇA-FEIRA,-30.11529137901807,-51.17706394529174,ESTR COSTA GAMA ,,COLISÃO,1,0,0,0,0,0,
20,P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,13.8,100.0,sim,685099,2021-07-30 00:00:00,12:45:00.0000000,SEXTA-FEIRA,-30.11530374211376,-51.17705762386323,ESTR COSTA GAMA ,,ABALROAMENTO,0,0,0,1,0,0,
