ponto,rotulo_ponto,tipo_referencia,dist_m,limiar_principal_m,associacao_principal,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus
P7,Estr. 3 Meninas x Estr. Costa Gama,point,40.2,100.0,sim,772894,20250610,12:20,TERCA-FEIRA,-30.134053080000001,-51.175552000000003,ESTR COSTA GAMA,,BOLETIM,0,0,0,0,0,1
P4,Corredor Av. Vicente Monteggia,polyline,3.2,50.0,sim,773137,20250611,17:45,QUARTA-FEIRA,-30.109154228771299,-51.219993934979300,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.6,50.0,sim,772889,20250611,18:30,QUARTA-FEIRA,-30.110429109999998,-51.219022000000002,AV VICENTE MONTEGGIA,ESTR JOAO VEDANA,BOLETIM,0,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,104.0,100.0,nao_contexto,773216,20250612,17:00,QUINTA-FEIRA,-30.112178910000001,-51.226685000000003,AV CAVALHADA,R PRUDENCIA,BOLETIM,0,0,0,1,0,0
P2,Confluencia Cristiano Kraemer x Belem Velho x Monte Cristo,point,165.1,100.0,nao_contexto,773001,20250614,04:50,SABADO,-30.116164296755599,-51.206945687704298,R MIGUEL ASCOLEZE,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,72.6,50.0,nao_contexto,773310,20250616,16:23,SEGUNDA-FEIRA,-30.096526273177499,-51.224055592247197,AV FABIO ARAUJO SANTOS,,BOLETIM,1,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,2.9,50.0,sim,773456,20250618,16:18,QUARTA-FEIRA,-30.099865999999999,-51.225316999999997,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,6.5,50.0,sim,773500,20250618,08:57,QUARTA-FEIRA,-30.113307370000001,-51.213003000000000,AV VICENTE MONTEGGIA,ESTR JOAO PASSUELO,BOLETIM,0,0,0,1,0,0
P3,Acesso Av. Vicente Monteggia via Joao Salomoni/Rodrigues,point,150.2,100.0,nao_contexto,773957,20250618,18:50,QUARTA-FEIRA,-30.115853000000001,-51.210973000000003,AV RODRIGUES DA FONSECA,,BOLETIM,0,0,0,0,0,0
P3,Acesso Av. Vicente Monteggia via Joao Salomoni/Rodrigues,point,150.2,100.0,nao_contexto,773594,20250618,18:50,QUARTA-FEIRA,-30.115853000000001,-51.210973000000003,AV RODRIGUES DA FONSECA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.4,50.0,sim,773745,20250619,19:30,QUINTA-FEIRA,-30.095352080000001,-51.225490000000001,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,6.4,100.0,sim,772908,20250625,14:00,QUARTA-FEIRA,-30.113044750000000,-51.226481000000000,AV CAVALHADA,ESTR JOAO SALOMONI,BOLETIM,0,0,0,0,0,0
P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,63.9,100.0,sim,772850,20250625,12:00,QUARTA-FEIRA,-30.118834960000001,-51.202919000000001,ESTR CRISTIANO KRAEMER,R CEL FREDERICO CARLOS GOMES,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,2.7,50.0,sim,773862,20250626,13:50,QUINTA-FEIRA,-30.098483000000002,-51.225245999999999,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,73.3,100.0,sim,773841,20250626,10:30,QUINTA-FEIRA,-30.115468000000000,-51.176383999999999,ESTR AFONSO LOURENCO MARIANTE,,BOLETIM,1,0,0,1,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,78.9,100.0,sim,774480,20250630,18:00,SEGUNDA-FEIRA,-30.112406000000000,-51.226672000000001,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P3,Acesso Av. Vicente Monteggia via Joao Salomoni/Rodrigues,point,0.9,100.0,sim,773264,20250630,06:28,SEGUNDA-FEIRA,-30.115501999999999,-51.212471000000001,AV VICENTE MONTEGGIA,ESTR JOAO SALOMONI,BOLETIM,0,0,0,1,0,1
P4,Corredor Av. Vicente Monteggia,polyline,4.6,50.0,sim,773264,20250630,06:28,SEGUNDA-FEIRA,-30.115501999999999,-51.212471000000001,AV VICENTE MONTEGGIA,ESTR JOAO SALOMONI,BOLETIM,0,0,0,1,0,1
P7,Estr. 3 Meninas x Estr. Costa Gama,point,27.2,100.0,sim,774518,20250702,19:00,QUARTA-FEIRA,-30.133485056063101,-51.175742134532101,ESTR COSTA GAMA,,BOLETIM,0,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,8.5,100.0,sim,775040,20250707,17:12,SEGUNDA-FEIRA,-30.113078399999999,-51.226415000000003,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,4.0,100.0,sim,775041,20250707,14:58,SEGUNDA-FEIRA,-30.113088410000000,-51.226539000000002,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,6.5,50.0,sim,774504,20250707,14:15,SEGUNDA-FEIRA,-30.113307370000001,-51.213003000000000,AV VICENTE MONTEGGIA,ESTR JOAO PASSUELO,BOLETIM,0,0,0,0,0,0
P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,25.9,100.0,sim,774988,20250709,02:00,QUARTA-FEIRA,-30.118518717775899,-51.203070571503197,ESTR CRISTIANO KRAEMER,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.0,50.0,sim,774784,20250712,17:00,SABADO,-30.100758610000000,-51.224733000000001,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,8.5,100.0,sim,794046,20250712,22:35,SABADO,-30.113078399999999,-51.226415000000003,AV CAVALHADA,,ATENDIMENTO,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,4.7,50.0,sim,772179,20250717,19:11,QUINTA-FEIRA,-30.095149280000001,-51.225779000000003,AV CAVALHADA,,BOLETIM,1,1,0,2,0,0
P2,Confluencia Cristiano Kraemer x Belem Velho x Monte Cristo,point,17.1,100.0,sim,772184,20250718,23:25,SEXTA-FEIRA,-30.117466929999999,-51.206218999999997,ESTR CRISTIANO KRAEMER,AV BELEM VELHO,BOLETIM,2,1,0,2,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,4.0,100.0,sim,774607,20250719,15:30,SABADO,-30.113088410000000,-51.226539000000002,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,2.7,50.0,sim,775317,20250720,06:10,DOMINGO,-30.098398000000000,-51.225183000000001,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,4.0,100.0,sim,774614,20250722,11:33,TERCA-FEIRA,-30.113088410000000,-51.226539000000002,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P2,Confluencia Cristiano Kraemer x Belem Velho x Monte Cristo,point,149.4,100.0,nao_contexto,775116,20250725,06:00,SEXTA-FEIRA,-30.117056999999999,-51.207799999999999,AV RODRIGUES DA FONSECA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,2.9,50.0,sim,773037,20250730,19:28,QUARTA-FEIRA,-30.106612999999999,-51.222324999999998,AV VICENTE MONTEGGIA,AV JOSE CORREA DA SILVA,BOLETIM,1,1,0,1,0,0
P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,172.0,100.0,nao_contexto,775756,20250731,16:30,QUINTA-FEIRA,-30.118199719739501,-51.201406210329701,ESTR TRES MENINAS,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,1.8,50.0,sim,775885,20250801,07:45,SEXTA-FEIRA,-30.110292074649600,-51.219171322882197,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,18.6,50.0,sim,776347,20250805,22:32,TERCA-FEIRA,-30.107187000000000,-51.221899999999998,R AMAPA,,BOLETIM,1,0,0,1,0,0
P3,Acesso Av. Vicente Monteggia via Joao Salomoni/Rodrigues,point,168.5,100.0,nao_contexto,776390,20250805,07:40,TERCA-FEIRA,-30.113992509999999,-51.212662999999999,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
