logradouro,n_registros,estacao_mediana_m,estacao_min_m,estacao_max_m
AV CAVALHADA,30,1.2,0.0,35.9
R DR CAMPOS VELHO,24,2.5,0.0,1502.3
AV NONOAI,38,7.9,0.0,29.0
AV FABIO ARAUJO SANTOS,4,271.1,212.9,355.2
AV OTTO NIEMEYER,14,672.9,645.7,695.1
ESTR ARACAJU,2,1197.0,1175.2,1218.8
R AMAPA,10,1474.1,1459.7,1481.9
ESTR JOAO VEDANA,7,1933.9,13.1,1935.9
ESTR JOAO PASSUELO,9,2643.6,2623.6,2674.0
ESTR JOAO SALOMONI,7,2898.6,2895.1,2900.8
R ATILIO SUPERTTI,3,2900.8,2900.8,2900.8
