segmento_id,trecho,estacao_m,dist_eixo_p4_m,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,695.1,24.1,777655,20250907,21:00,DOMINGO,-30.100917720000002,-51.224913999999998,AV VICENTE MONTEGGIA,AV OTTO NIEMEYER,BOLETIM,1,0,0,1,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2268.4,3.1,777395,20250909,09:20,TERCA-FEIRA,-30.112521999999998,-51.216600999999997,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S04,Estr. Aracaju -> Rua Amapa,1453.4,0.6,778239,20250910,07:15,QUARTA-FEIRA,-30.107095000000001,-51.222160000000002,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,1077.9,6.2,778265,20250918,19:00,QUINTA-FEIRA,-30.103822990000001,-51.223139000000003,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,2,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2057.7,4.4,777575,20250924,18:00,QUARTA-FEIRA,-30.111350850000001,-51.218294999999998,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,1063.5,5.3,778648,20250926,19:25,SEXTA-FEIRA,-30.103694090000001,-51.223154999999998,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
P4-S07,Estr. Joao Passuelo -> Av. Joao Salomoni / Av. Rodrigues da Fonseca,2895.4,4.6,778824,20250929,09:10,SEGUNDA-FEIRA,-30.115501999999999,-51.212471000000001,AV RODRIGUES DA FONSECA,ESTR JOAO SALOMONI,BOLETIM,1,0,0,1,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1799.1,5.9,779657,20251009,09:11,QUINTA-FEIRA,-30.109412970000001,-51.219780000000000,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,1.2,4.7,778700,20251011,13:30,SABADO,-30.095149280000001,-51.225779000000003,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,238.8,0.5,780029,20251012,01:00,DOMINGO,-30.097041510000000,-51.224643999999998,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4-S02,Av. Fabio Araujo Santos -> Av. Otto Niemeyer,645.7,6.1,778683,20251013,11:40,SEGUNDA-FEIRA,-30.100397019999999,-51.224930000000001,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,1.2,4.7,779530,20251014,11:55,TERCA-FEIRA,-30.095149280000001,-51.225779000000003,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1481.3,16.3,779144,20251016,20:40,QUINTA-FEIRA,-30.107217660000000,-51.221907000000002,AV VICENTE MONTEGGIA,R AMAPA,BOLETIM,0,0,0,0,0,0
P4-S07,Estr. Joao Passuelo -> Av. Joao Salomoni / Av. Rodrigues da Fonseca,2737.7,5.2,780063,20251017,10:08,SEXTA-FEIRA,-30.114111630000000,-51.212612999999997,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,1.2,4.7,780353,20251018,08:40,SABADO,-30.095149280000001,-51.225779000000003,AV CAVALHADA,,BOLETIM,2,0,0,0,0,0
